agency_cd,site_no,parameter_cd,ts_id,year_nu,month_nu,mean_va
USGS,8017400,62614,132500,2006,4,432.303
USGS,8017400,62614,132500,2006,5,431.939
USGS,8017400,62614,132500,2006,6,430.966
USGS,8017400,62614,132500,2006,7,429.757
USGS,8017400,62614,132500,2006,8,428.459
USGS,8017400,62614,132500,2006,9,427.327
USGS,8017400,62614,132500,2006,10,426.241
USGS,8017400,62614,132500,2006,11,425.747
USGS,8017400,62614,132500,2007,2,429.368
USGS,8017400,62614,132500,2007,3,429.327
USGS,8017400,62614,132500,2007,4,431.129
USGS,8017400,62614,132500,2007,5,431.148
USGS,8017400,62614,132500,2007,6,435.379
USGS,8017400,62614,132500,2007,7,438.913
USGS,8017400,62614,132500,2007,8,437.322
USGS,8017400,62614,132500,2007,9,436.845
USGS,8017400,62614,132500,2007,10,436.362
USGS,8017400,62614,132500,2007,11,435.847
USGS,8017400,62614,132500,2007,12,435.634
USGS,8017400,62614,132500,2008,5,437.817
USGS,8017400,62614,132500,2008,6,437.667
USGS,8017400,62614,132500,2008,7,436.869
USGS,8017400,62614,132500,2008,8,435.94
USGS,8017400,62614,132500,2008,9,435.274
USGS,8017400,62614,132500,2008,10,434.452
USGS,8017400,62614,132500,2008,11,433.675
USGS,8017400,62614,132500,2009,2,432.401
USGS,8017400,62614,132500,2009,3,432.761
USGS,8017400,62614,132500,2009,4,433.116
USGS,8017400,62614,132500,2009,5,437.366
USGS,8017400,62614,132500,2009,6,437.079
USGS,8017400,62614,132500,2009,7,436.079
USGS,8017400,62614,132500,2009,8,435.655
USGS,8017400,62614,132500,2009,10,438.317
USGS,8017400,62614,132500,2009,11,438.358
USGS,8017400,62614,132500,2009,12,438.084
USGS,8017400,62614,132500,2010,3,438.307
USGS,8017400,62614,132500,2010,4,437.862
USGS,8017400,62614,132500,2010,5,437.526
USGS,8017400,62614,132500,2010,6,437.057
USGS,8017400,62614,132500,2010,8,435.831
USGS,8017400,62614,132500,2010,9,435.264
USGS,8017400,62614,132500,2010,10,434.795
USGS,8017400,62614,132500,2010,11,434.829
USGS,8017400,62614,132500,2010,12,434.553
USGS,8017400,62614,132500,2011,1,434.606
USGS,8017400,62614,132500,2011,2,434.569
USGS,8017400,62614,132500,2011,3,434.548
USGS,8017400,62614,132500,2011,4,434.228
USGS,8017400,62614,132500,2011,5,434.577
USGS,8017400,62614,132500,2011,7,433.669
USGS,8017400,62614,132500,2011,9,431.479
USGS,8017400,62614,132500,2011,10,430.755
USGS,8017400,62614,132500,2011,11,430.191
USGS,8017400,62614,132500,2011,12,430.448
USGS,8017400,62614,132500,2012,1,431.527
USGS,8017400,62614,132500,2012,2,433.567
USGS,8017400,62614,132500,2012,4,437.056
USGS,8017400,62614,132500,2012,5,437.004
USGS,8017400,62614,132500,2012,6,436.852
USGS,8017400,62614,132500,2012,7,436.196
USGS,8017400,62614,132500,2012,8,435.306
USGS,8017400,62614,132500,2012,9,434.423
USGS,8017400,62614,132500,2012,10,433.946
USGS,8017400,62614,132500,2012,11,433.399
USGS,8017400,62614,132500,2012,12,432.933
USGS,8017400,62614,132500,2013,1,432.983
USGS,8017400,62614,132500,2013,2,432.962
USGS,8017400,62614,132500,2013,3,432.59
USGS,8017400,62614,132500,2013,4,432.364
USGS,8017400,62614,132500,2013,5,432.034
USGS,8017400,62614,132500,2013,6,431.983
USGS,8017400,62614,132500,2013,7,431.091
USGS,8017400,62614,132500,2013,8,430.034
USGS,8017400,62614,132500,2013,9,429.036
USGS,8017400,62614,132500,2013,10,428.551
USGS,8017400,62614,132500,2013,11,428.547
USGS,8017400,62614,132500,2013,12,428.627
USGS,8017400,62614,132500,2014,1,428.59
USGS,8017400,62614,132500,2014,2,428.224
USGS,8017400,62614,132500,2014,3,427.888
USGS,8017400,62614,132500,2014,4,427.671
USGS,8017400,62614,132500,2014,5,428.875
USGS,8017400,62614,132500,2014,6,428.985
USGS,8017400,62614,132500,2014,7,428.072
USGS,8017400,62614,132500,2014,8,427.639
USGS,8017400,62614,132500,2014,9,426.842
USGS,8017400,62614,132500,2014,11,425.744
USGS,8017400,62614,132500,2014,12,425.477
USGS,8017400,62614,132500,2015,1,425.862
USGS,8017400,62614,132500,2015,2,426.21
USGS,8017400,62614,132500,2015,3,429.795
USGS,8017400,62614,132500,2015,4,431.588
USGS,8017400,62614,132500,2015,5,435.274
USGS,8017400,62614,132500,2015,6,438.608
USGS,8017400,62614,132500,2015,7,437.844
USGS,8017400,62614,132500,2015,8,436.964
USGS,8017400,62614,132500,2015,9,436.458
USGS,8017400,62614,132500,2015,10,436.269
USGS,8017400,62614,132500,2015,11,438.827
USGS,8017400,62614,132500,2015,12,439.42
USGS,8017400,62614,132500,2016,1,438.465
USGS,8017400,62614,132500,2016,2,437.668
USGS,8017400,62614,132500,2016,3,438.42
USGS,8017400,62614,132500,2016,4,438.343
USGS,8017400,62614,132500,2016,5,438.274
USGS,8017400,62614,132500,2016,6,438.913
USGS,8017400,62614,132500,2016,7,437.5
USGS,8017400,62614,132500,2016,8,436.649
USGS,8017400,62614,132500,2016,9,435.972
USGS,8017400,62614,132500,2016,12,434.855
USGS,8017400,62614,132500,2017,1,434.809
USGS,8017400,62614,132500,2017,2,434.781
USGS,8017400,62614,132500,2017,3,434.63
